comments	status
Bought mainly charger which broke soon after purchasing	0
If you like loud buzzing override all your conversations this phone is you	0
Fantastic buy and will get again whatever my next phone is	1
stay away from this store be careful	0
This BlueAnt Supertooth hands-free phone speaker is AWESOME	1
Does not fit	0
Item arrived quickly and works great with my Metro PCS Samsung SCH-r450 slider phone and Sony Premium Sound in ear plugs	1
It is light has plenty of battery capacity and is very confortable wear somewhat extended periods of time	1
disappointing	0
Blue Ant is easy use	1
Cheap but hey it works Was pleasantly suprised given low cost of this item	1
camera phone may be used as dustpan when indoors I'd rather be using disposable this	0
Then few days later puff of smoke came out of phone while in use	0
It's very convenient and simple use - gets job done & makes car ride so much smoother	1
nano stated itMy son was dissapointed	0
sound quality is excellent as well	1
Its best headset I have used	1
Would not reccommend	0
They have been around years and carries highest quality of anti-glare screen protector that I have found date	1
Just what I wanted	1
This particular model would not work with my Motorola Q smartphone	0
wont work right or atleast me	0
in addition it feels &amp; looks as if phone is all lightweight cheap plastic	0
But now that it is "out of warranty" same problems reoccureBottom line put your money somewhere else Cingular will not support it	0
I really wanted Plantronics 510 be right one but it has too many issues megood	0
Great product	1
Crisp and Clear	1
AFter first charge kept going dead after 12 minutes	0
VERY cheap plastic creaks like an old wooden floor	0
I get absolutely horrible reception in my apartment where with other phones I have not had this problem	0
reception has been generally good	1
Excellent sound battery life and inconspicuous boot	1
Great bluetooth	1
I highly recommend this case	1
WORTHWHILE	1
This is great deal	1
After my phone got be about year old it's been slowly breaking despite much care my part	0
I am sorry I made this purchase	0
I bought these hoping I could make my Bluetooth headset fit better but these things made it impossible wear	0
Treo and T-Mobile refused replace it again and forced me buy another phone without any kind of upgrade discount	0
It was horrible	0
I don't think it would hold it too securly your belt	0
This allows possibility of double booking same date and time after first	0
They work about 2 weeks break	0
It is simple use and I like it	1
It's great tool entertainment communication and data managementOh be sure use ActiveSync 42 optimal data synchronization results	1
I can't use this case because smell is disgusting	0
NOT WHAT I WANTED	0
I own 2 of these cases and would order another	1
Great Phone	1
I bought this battery with coupon from Amazon and I'm very happy with my purchase	1
internet access was fine it rare instance that it worked	0
Perfect PS3	1
Five star Plus plus	1
A good quality bargain I bought this after I bought cheapy from Big Lots that sounded awful and people other end couldn't hear me	1
$50 Down drain	0
I tried talking real loud but shouting telephone gets old and I was still told it wasn't great	0
Good  works fine	1
For price this was great deal	1
Great price too	1
If there is wind it is completely useless	0
Yes it's shiny front side - and I love it	1
Does Not Work	0
At first I thought I was grtting good deal at $744 until I plugged it into my phone V3c Razr	0
reception through this headset is excellent	1
2 thumbs up this seller	1
I have Verizon LG phone and they work well together good reception and range that exceeds 20 feet line of sight	1
Improper description I had return it	0
#1 It Works - #2 It is Comfortable	1
Battery charge-life is quite long	1
Jabra EarGels fit my ears very well	1
Battery has no life	0
I checked everywhere and there is no feature it which is really disappointing	0
Product is exactly as described	1
Gets signal when other Verizon phones won't	1
Doesn't do job	0
I would recommend it	1
Plan ordering from them again and again	1
That being said phone camera is very nice; many cool effects play with and video is decent as well	1
I have been very satisfied with this cell phone from day one	1
They keep getting better and better this is my third one and I've had numerous Palms too	1
Awkward use and unreliable	0
shipping time was also very quick	1
Not as good as I had hoped	0
Good case	1
Doesn't Work	0
Really good product	1
Unfortunately it did not work	0
All three broke within two months of use	0
dont buy it	0
My father has V265 and battery is dying	0
However ear pads come off easily and after only one week I lost one	0
calls drop phone comes and off at will screen goes black and worst of all it stops ringing intermittently	0
Horrible horrible protector	0
I don't like this Nokia either	0
Reaching bottom row is uncomfortable and send and end keys are not where I expect them be3	0
I have bought this Nokia cell phone few weeks ago and it was nightmare	0
It would take too long describe how bad my customer service experience has been with Amazon	0
only VERY DISAPPOINTING thing was there was NO SPEAKERPHONE	0
Terrible My car will not accept this cassette	0
Product is useless since it does not have enough charging current charge 2 cellphones I was planning use it with	0
It's not what it says it is	0
Stay Away From Q	0
Used and dirty	0
Very unreliable service from T-mobile 	0
Not good enough price	0
I bought two of them and neither will charge	0
It looks very nice	1
This is an excellent tool especially when paired with your phone's auto-answer	1
I have read other's reviews here but I haven't had any problem with it	1
These products cover up important light sensor above ear outlet	0
Comfortable in my hand	1
Just does not work	0
Poor Reliability	0
It works	1
If I take picture battery drops bar and starts beeping letting me know its dieing	0
Terrible product and waste of money	0
Last time buying from you	0
It was waste of my money	0
So far it has worked like charm	1
I have only had it few weeks but so far so good	1
But in any case best part is you can download these pictures your laptop using IR or even send pictures from your laptop phone	1
Would recommend this item	1
It's been my choice headset yearsGreat sound; good volume; good noise cancellation	1
Nice case feels good in your hands	1
item received was Counterfeit	0
Just really good So far probably best BT headset I have ever had	1
Works fine	1
I received my headset in good time and was happy with it	1
I was very pleased see that I could replace my well travled swivel holster my Blackberry flip	1
My sister has one also and she loves it	1
Good Quality	1
This is by far worst purchase I've made Amazon	0
Excellent dual-purpose headset	1
Excellent	1
Does not work listening music with cingular 8125	0
It seems completely secure both holding my belt and keeping iPhone inside	1
bottowm lineanother worthless cheap gimmick from Sprint	0
Having trouble with volume	0
only good thing was that it fits comfortably small ears	1
WARNING - DO NOT BUY	0
I am pairing this with my iphone and I could not be happier with it so far	1
When it opens battery connection is broken and device is turned off	0
I didn't want clip going over top of my ear causing discomfort	0
Best headset ever	1
Don't trust their website and don't expect any helpful support	0
It was that loudGlad say that Plantronics 510 maintains flawless connection my cell and with no static during normal use	1
speaker is of low quality so as making ring tones sound very cheap	0
Fits comfortably came with three sizes of earbud tips	1
Excellent product price	1
Bad Reception	0
This product is very High quality Chinese CRAP	0
It was quite comfortable in ear	1
Great phone	1
Don't buy this product - It fails	0
Everything about this product is wrongFirst	0
pairing of two devices was so easy it barely took couple minutes before I started making calls with voice dialing feature	1
This was utterly confusing at first which caused me lose couple of very very important contacts	0
Terrible phone holder	0
cutouts and buttons are placed perfectly	1
I love being able use one headset both by land-line and cell	1
Problem is that ear loops are made of weak material and break easily	0
Not nearly as good looking as AMAZON picture makes it look	0
But despite these few flaws this case is of exceptional quality and well worth additional costs of owning an official OEM product	1
How stupid is that?	0
I can hear while I'm driving in car and usually don't even have put it it's loudest setting	1
Seller shipped quickly and much cheaper than competitors	1
Good show Samsung	1
So I bought about 10 of these and saved alot of money	1
It always cuts out and makes beep beep beep sound says signal failed	0
Couldn't figure it out	0
My phone sounded OK not great - OK but my wife's phone was almost totally unintelligible she couldn't understand word being said it	0
So I had take battery out of phone put it all back together and restart it	0
While I managed bend leaf spring back in place metal now has enough stress that it will break next drop	0
Leopard Print is wonderfully wild	1
Works me	1
Saggy floppy piece of junk	0
much better than hard plastic cases	1
It also had new problem	0
Happy so far	1
cool phone	1
Works good	1
Motorola finally got voice quality of bluetooth headset right	1
It looses connection phone even when it is within couple feet between two	0
but it is great i would really recommend it	1
Makes it easier keep up with my bluetooth when I'm not wearing it	0
As I said abovePRETTY USELESS	0
Never got it	0
This pair of headphones is worst that I have ever had sound-wise	0
[] down drain because of weak snap	0
Does not charge Cingular ATT 8525 phone	0
You get extra minutes so that you can carry out call and not get cut off"	1
However after about year fliptop started get loose and wobbly and eventually my screen went black and I couldn't receive and place calls	0
I kept catching cable seat and I had pull phone out turn it an off	0
headset fulfills my requirements so I am happy with my purchase	1
Logitech Bluetooth Headset is 10	1
I like fact that it rests lightly against your ear rather than inside	1
A lot of websites have been rating this very good phone and so do I	1
I have tried these cables with my computer and my iPod and it works just fine	1
mic there is joke and volume is quite low	0
I'm returning them	0
I does not maintain connection with computer while it is my lap	0
It is easy turn and off when you are in car and volume controls are quite accessable	1
I have had mine about year and this Christmas I bought some rest of family	1
Otherwise easy install and use clear sound	1
nice leather	1
I had purchase different case	0
It is joy use	1
Very much disappointed with this company	0
Very satisifed with that	1
It didn't charge me	0
This is phone get 2005 I just bought my S710a and all I can say is WOW	1
Buttons are too small	0
Just reading specs alone makes you say WOW	1
Love it Great armband	1
I really like this product over Motorola because it is allot clearer ear piece and mic	1
However keypads are so tinny that I sometimes reach wrong buttons	0
I exchanged sony ericson z500a this and I'm pretty happy with that decision	1
I was very impressed with price of cases	1
Also makes it easier hold to	1
I use this product in motor control center where there is lot of high voltage humming from equipment and it works great	1
It's pretty easy	1
I cannot make calls at certain places	0
however my girl was complain that some time phone doesn't wake up like normal phone does	0
Beautiful styling though	1
This company charge me restocking fee and still not given me my refund back	0
I'm trying return it refund	0
I plugged it in only find out not darn thing worked	0
Excellent product	1
Earbud piece breaks easily	0
Lousy product	0
This phone tries very hard do everything but fails at it's very ability be phone	0
It is best charger I have seen market yet	1
SWEETEST PHONE	1
:-Oh charger seems work fine	1
It fits so securely that ear hook does not even need be used and sound is better directed through your ear canal	1
Not enough volume	0
Echo Problem Very unsatisfactory	0
you could only take 2 videos at time and quality was very poor	0
don't waste your money	0
I am going have be first negatively review this product	0
Adapter does not provide enough charging current	0
There was so much hype over this phone that I assumed it was best my mistake	0
You also cannot take pictures with it in case because lense is covered	0
Phone falls out easily	0
It didn't work people can not hear me when I talk	0
text messaging feature is really tricky use	0
I'm really disappointed all I have now is charger that doesn't work	0
Painful ear	0
Lasted one day and blew up	0
disappointed	0
Kind of flops around	0
screen does get smudged easily because it touches your ear and face	0
What piece of junk I lose more calls this phone	0
Item Does Not Match Picture	0
only thing that disappoint me is infra red port irda	0
You can not answer calls with unit never worked once	0
