comments	status
high hopes place since burgers cooked over charcoal grill but unfortunately taste fell flat way flat	0
could eat their bruschetta day devine	1
Not single employee came see if were OK or even needed water refill once they finally served us our food	0
Lastly mozzarella sticks they were best thing ordered	1
first time ever came here amazing experience still tell people awesome duck was	1
server negligent our needs made us feel unwelcome would not suggest place 	0
service terrible though	0
place overpriced not consistent their boba really OVERPRICED 	0
was packed  	0
love place	1
can say  desserts were yummy	1
food terrible	0
seasonal fruit fresh white peach puree	1
kept getting worse worse so now officially done	0
place should honestly blown up	0
But definitely would not eat here again	0
Do not waste your money here 	0
love  they put their food nice plastic containers opposed cramming little paper takeout boxes	1
crêpe delicate thin moist	1
Awful service	0
Won't ever here again	0
Food quality been horrible	0
For  price can think few place would much rather gone	0
service here fair best	0
do love sushi but found Kabuki over-priced over-hip under-services	0
Do yourself favor stay away from dish	0
Very poor service	0
No table thought food above average or worth wait  it	0
Best service food ever Maria our server so good friendly made our day	1
They were excellent	1
paid bill but not tip because felt server terrible job	0
Just lunch here great experience	1
never such bland food which surprised considering article read focused so much their spices flavor	0
Food way overpriced portions fucking small	0
recently tried Caballero's been back every week since 	1
for 40 bucks head really expect better food	0
food came good pace	1
ate twice last visit especially enjoyed salmon salad	1
won't back	0
We could not believe dirty oysters were 	0
place deserves no stars	0
would not recommend place	0
In fact going round 4 stars just because so awesome	1
disbelief dish qualified worst version foods ever tasted	0
Bad day or not low tolerance rude customer service people your job nice polite wash dishes otherwise  	0
the potatoes were great so biscuit	1
probably would not here again	0
So flavorful just perfect amount heat	1
price reasonable service great	1
Wife hated her meal (coconut shrimp) our friends really not enjoy their meals either	0
My fella got huevos rancheros they didn't look appealing	0
Went happy hour great list wines	1
Some may say buffet pricey but think get what pay place getting quite lot 	1
probably won't coming back here	0
Worst food service I've while	0
place pretty good nice little vibe restaurant	1
Talk great customer service course will back	1
Hot dishes not hot cold dishes close room tempI watched staff prepare food BARE HANDS no glovesEverything deep fried oil	0
love their fries their beans	1
Always pleasure dealing him	1
They plethora salads sandwiches everything I've tried gets seal approval	1
place awesome if want something light healthy during summer	1
For sushi Strip place go	1
service great even manager came helped our table	1
feel dining room more college cooking course high class dining service slow best	0
started review two stars but editing give only one	0
this worst sushi ever eat besides Costco's	0
All excellent restaurant highlighted by great service unique menu beautiful setting	1
My boyfriend sat bar completely delightful experience	1
Weird vibe from owners	0
There hardly any meat	0
I've better bagels from grocery store	0
Go Place Gyros	1
love owner chef his authentic Japanese cool dude 	1
Now burgers aren't good pizza which used amazing doughy flavorless	0
found six inch long piece wire salsa	0
service terrible food mediocre	0
We definately enjoyed ourselves	1
ordered Albondigas soup which just warm tasted like tomato soup frozen meatballs	0
On three different occasions asked well done or medium well three times got bloodiest piece meat plate	0
two bites refused eat anymore	0
service extremely slow	0
After 20 minutes wait got table	0
Seriously killer hot chai latte	1
No allergy warnings menu waitress absolutely no clue which meals or not contain peanuts	0
My boyfriend tried Mediterranean Chicken Salad fell love	1
Their rotating beers tap also highlight place	1
Pricing bit concern Mellow Mushroom	0
Worst Thai ever	0
If stay Vegas must get breakfast here least once	1
want first say our server great perfect service	1
pizza selections good	1
strawberry tea which good	1
Highly unprofessional rude loyal patron 	0
Overall great experience	1
Spend your money elsewhere	0
Their regular toasted bread equally satisfying occasional pats butter Mmmm 	1
Buffet Bellagio far from what anticipated	0
And drinks WEAK people 	0
-My order not correct	0
Also feel like chips bought not made house	0
After disappointing dinner went elsewhere dessert	0
chips sals here amazing                   	1
We won't returning	0
new fav Vegas buffet spot	1
seriously cannot believe  owner so many unexperienced employees  running around like chickens their heads cut off	0
Very sad	0
felt insulted disrespected could talk judge another human being like ?	0
How can call yourself steakhouse if can't properly cook steak don't understand 	0
I'm not impressed concept or food	0
only thing wasn't crazy their guacamole don't like puréed	0
There really nothing postinos hope your experience better	0
got food poisoning here buffet	0
They brought fresh batch fries thinking yay something warm but no 	0
What SHOULD been hilarious yummy Christmas Eve dinner remember biggest fail entire trip us	0
Needless say won't going back anytime soon	0
place disgusting 	0
Every time eat here see caring teamwork professional degree	1
RI style calamari joke	0
However so much garlic fondue barely edible	0
could barely stomach meal but didn't complain because business lunch	0
was so bad lost heart finish it	0
also took her forever bring us check asked it	0
We aren't ones make scene restaurants but just don't get itdefinitely lost love after 	0
Disappointing experience	0
food par Denny's which say not good all	0
If want wait mediocre food downright terrible service place you	0
WAAAAAAyyyyyyyyyy over rated am saying	0
We won't going back	0
place fairly clean but food simply wasn't worth it	0
place lacked style  	0
sangria half glass wine full $12 ridiculous	0
Don't bother coming here	0
meat pretty dry sliced brisket pulled pork	0
building itself seems pretty neat; bathroom pretty trippy but wouldn't eat here again	0
was equally awful	0
Probably not hurry back	0
very slow seating even reservation	0
Not good by any stretch imagination	0
cashew cream sauce bland vegetables were undercooked	0
chipolte ranch dipping sause tasteless seemed thin watered down no heat	0
was bit sweet not really spicy enough lacked flavor	0
disappointed  	0
place horrible way overpriced	0
Maybe just their Vegetarian fare but I've been twice thought average best	0
wasn't busy now know why	0
tables outside also dirty lot time workers not always friendly helpful menu	0
ambiance here not feel like buffet setting but more douchey indoor garden tea biscuits	0
Con: spotty service	0
fries were not hot neither burger	0
But they came back cold	0
Then our food came disappointment ensued	0
real disappointment our waiter	0
My husband said rude not even apologize bad food or anything	0
only reason eat here would fill before night binge drinking just get some carbs your stomach	0
Insults profound deuchebaggery outside smoke break while serving just solidify it	0
If someone orders two tacos don't' think may part customer service ask if combo or ala cart?	0
She quite disappointed although some blame needs placed her door	0
After rave reviews couldn't wait eat herewhat disappointment 	0
Del Taco pretty nasty should avoided if possible	0
NOT hard make decent hamburger	0
But don't like it	0
Hell no will back	0
We've gotten much better service from pizza place next door services received from restaurant	0
don't know what big deal place but won't back ya'all	0
immediately said wanted talk manager but not want talk guy doing shots fireball behind bar	0
ambiance isn't much better	0
Unfortunately only set us disapppointment our entrees	0
food wasn't good	0
Your servers suck wait correction our server Heimer sucked	0
What happened next prettyoff putting	0
too bad cause know family owned really wanted like place	0
Overpriced what getting	0
vomited bathroom mid lunch	0
kept looking time soon become 35 minutes yet still no food	0
been few places eat  under no circumstances would ever return to tops list	0
We started tuna sashimi which brownish color obviously wasn't fresh	0
Food below average	0
sure does beat nachos movies but would expect little bit more coming from restaurant	0
All Ha Long Bay bit flop	0
problem  they charge $1199 sandwich  no bigger Subway sub (which offers better more amount vegetables)	0
Shrimpunwrapped (I live only 1 2 mile from Brushfire) literally ice cold	0
lacked flavor seemed undercooked dry	0
really impressive  place hasn't closed down	0
would avoid place if staying Mirage	0
refried beans  came meal were dried crusty food bland	0
Spend your money time some place else	0
A lady table next us found live green caterpillar her salad	0
the presentation food awful	0
can't tell disappointed was	0
think food should flavor texture both were lacking	0
Appetite instantly gone	0
Overall not impressed would not back	0
whole experience underwhelming think we'll just Ninja Sushi next time	0
Then if hadn't wasted enough life they poured salt wound by drawing time took bring check	0
A very slow-moving aimless movie distressed drifting young man  	0
Not sure more lost flat characters or audience nearly half whom walked  	0
Attempting artiness black & white clever camera angles movie disappointed became even more ridiculous acting poor plot lines almost non-existent  	0
Very little music or anything speak  	0
best scene movie Gerardo trying find song  keeps running through his head  	1
rest movie lacks art charm meaning If emptiness works guess because empty  	0
Wasted two hours  	0
Saw movie today thought good effort good messages kids  	1
A bit predictable  	0
Loved casting Jimmy Buffet science teacher  	1
And those baby owls were adorable  	1
movie showed lot Florida best made look appealing  	1
Songs Were Best Muppets Were So Hilarious  	1
Was So Cool  	1
right casemovie  delivers everything almost right your face  	1
had some average acting from main person low budget clearly can see  	0
review long overdue since consider A Tale Two Sisters single greatest film ever made  	1
I'll put gem against any movie terms screenplay cinematography acting post-production editing directing or any other aspect film-making  	1
practically perfect them true masterpiece sea faux masterpieces  	1
structure film easily tightly constructed history cinema  	1
can think no other film where something vitally important occurs every other minute  	1
In other words content level film enough easily fill dozen other films  	1
How can anyone their right mind ask anything more from movie this?  	1
quite simply highest superlative form cinema imaginable  	1
Yes film does require rather significant amount puzzle-solving but pieces fit together create beautiful picture  	1
short film certainly pulls no punches  	0
Graphics far from best part game  	0
number best TH game series  	1
deserves strong love  	1
an insane game  	1
There massive levels massive unlockable characters just massive game  	1
Waste your money game  	1
kind money  wasted properly  	1
Actually graphics were good time  	1
Today graphics crap  	0
As they say Canada fun game aye  	1
game rocks  	1
Buy it play it enjoy it love it  	1
PURE BRILLIANCE  	1
was flick doomed from its conception  	0
idea lame take minor character from mediocre PG-13 film make complete non-sequel while changing its tone PG-rated family movie  	0
wasn't least bit interested  	0
Not only only confirm  film would unfunny generic but also managed give away ENTIRE movie; not exaggerating every moment every plot point every joke told trailer  	0
But just not funny  	0
But even talented Carrell can't save  	0
His co-stars don't fare much better people like Morgan Freeman Jonah Hill Ed Helms just wasted  	0
story itself just predictable lazy  	0
only real effects work presence animals integration those scenes some worst obvious blue green-screen work I've ever seen  	0
But whatever  cost them so much didn't translate quality 's sure  	0
film succeeds despite or perhaps because obviously meagre budget  	1
I'm glad film didn't obvious choice lesser film certainly would  	1
In addition having lovely songs ever written French Cancan also boasts cutest leading ladies ever grace screen  	1
hard not fall head-over-heels love  girl  	1
On negative insipid enough cause regret another 2 hours life wasted front screen  	0
Long whiny pointless  	0
But recommend waiting their future efforts let  	0
Excellent cast story line performances  	1
Totally believable  	1
Anne Heche utterly convincing  	1
Sam Shepard's portrayal gung ho Marine sobering  	1
sat riveted TV screen  	1
All give resounding 9 10  	1
do think Tom Hanks good actor  	1
enjoyed reading book children they were little  	1
disappointed movie  	0
One character totally annoying voice  gives feeling fingernails chalkboard  	0
There totally unnecessary train roller coaster scene  	0
There absolutely no warmth or charm scenes or characters  	0
movie totally grates nerves  	0
performances not improved by improvisation because actors now twice much worry about: not only whether they're delivering line well but whether line itself any good  	0
And quite honestly often its not good  	0
Often dialogue doesn't really follow from line another or fit surroundings  	0
crackles unpredictable youthful energy but honestly found hard follow concentrate meanders so badly  	0
There some generally great things it  	1
wouldn't say they're worth 2 hours your time though  	0
suspense builders were good & just cross line from G PG  	1
especially liked non-cliche choices parents; other movies could predict dialog verbatim but writing movie made better selections  	1
If want movie 's not gross but gives some chills great choice  	1
Alexander Nevsky great film  	1
He amazing film artist important whoever lived  	1
I'm glad pretentious piece s*** didn't do planned by Dodge stratus Big Shots gonna help movie makers aren't restrained movie businessof Québec  	0
if first movie I've given 10 years  	1
If ever movie  needed word-of-mouth promote it  	1
Overall film interesting thought-provoking  	1
Plus well-paced suited its relatively short run time  	1
Give look  	1
gave 10  	1
Wind Lion well written superbly acted  	1
a true classic  	1
actually turned pretty decent far B-list horror suspense films  	1
Definitely worth checking  	1
problem script  	0
was horrendous  	0
There NOTHING believable  	0
only suspense feeling frustration just retarded girls were  	0
MANNA FROM HEAVEN terrific film  both predictable unpredictable same time  	1
scenes often funny occasionally touching characters evaluate their lives where they going  	1
cast veteran actors more just nostalgia trip  	1
Ursula Burton's portrayal nun both touching funny same time making fun nuns or church  	1
If looking movie terrific cast some good music(including Shirley Jones rendition Way Look Tonight) uplifting ending give try  	1
don't think will disappointed  	1
Frankly after Cotton club Unfaithful kind embarrassing watch Lane Gere film because BAD  	0
acting bad dialogs were extremely shallow insincere  	0
was predictable even chick flick  	0
Too politically correct  	0
Very disappointing  	0
only thing really worth watching scenery house because beautiful  	1
love Lane but I've never seen her movie lousy  	0
An hour half wish could bring back  	0
But terms writing fresh bold  	1
acting helps writing along well (maybe idiot-savant sister could been played better) real joy watch  	1
directing cinematography aren't quite good  	0
movie so boring  sometimes found myself occupied peaking paper instead watching (never happened during Columbo movie before   	0
) sometimes so embarrassing  look away  	0
directing seems pretentious  	0
scenes oh-so-matureneighbour-girl misplace  	0
And generally lines plot weaker average episode  	0
Then scene where they debated whether or not sack trumpeter (who falsely accused murder) pure horror really stupid  	0
Some applause should given preludehowever  	1
really liked   	1
A great film by great director  	1
movie edge your seat made somewhat afraid your car end night  	1
music film really nice  	1
I'd advise anyone see it  	1
Brilliant   	1
10 10  	1
liked movie way much  	1
My only problem thought actor playing villain low rent Michael Ironside  	0
rocked world certainly must see anyone no social or physical outlets  	1
However didn't make fact  overall tremendously boring movie  	0
There NO chemistry between Ben Affleck Sandra Bullock film couldn't understand why would consider even leaving his wife-to-be chick  supposedly knocked by  	0
There were several moments movie  just didn't need were excruciatingly slow moving  	0
was poor remake Best Friends Wedding  	0
All great disappointment  	0
cannot believe  actors agreed do film  	0
could not stand even watch long fear losing IQ  	0
guess  nobody network  aired dribble watched before putting  	0
IMDB ratings only low 1 awful time get some negative numbers cases such  	0
saw Mirrormasklast night unsatisfactory experience  	0
Unfortunately inexperience direction meant  scene after scene passed little way dramatic tension or conflict  	0
These central themes film they handled ineptly stereotypically no depth imagination  	0
All pretty pictures world cannot make piece work  flawed core  	0
an hour half waste time following bunch pretty high schoolers whine cry life  	0
can't relate them hell barely can understand them  	0
definitely cult classic well worth viewing sharing others  	1
movie pure disaster story stupid editing worst seen confuses incredibly  	0
fish badly made some its underwater shots repeated thousand times film  	0
A truly truly bad film  	0
acting terrible writing worse  	0
only possible way movie could redeemed would MST3K fodder  	0
paid much  	0
Also real treat see Anthony Quinn playing Crazy Horse  	1
was so BORING   	0
No plot whatsoever   	0
Again no plot  	0
Horrible   	0
Worst hour half life Oh gosh   	0
walk theatre few minutes just get some relief   	0
hate movies like   	0
Yeah movie pretty much sucked  	0
THERE NO PLOT OR STORYLINE    	0
If do see movie bring pillow or girlfriend boyfriend keep occupied through  	0
Awful  	0
don't think I've ever gone movie disliked much  	0
was good thing  tickets only cost five dollars because would mad if I'd paid $750 see crap  	0
NOBODY identifies characters because they're cardboard cutouts stereotypes (or predictably reverse-stereotypes)  	0
bad film bad writing good actorsan ugly cartoon crafted by Paul Haggis people can't handle anything but bold strokes storytellinga picture painted crayons  	0
Crash depressing little nothing  provokes emotion but teaches nothing if already know racism prejudice bad things  	0
Still do like movie empowerment women; there's not enough movies like  	1
Your brain will attempt shut-down part primal impulse self-preservation  	0
left shattered from experience watching 'film' took good two hours fully recover  	0
movie now joins Revenge Boogeyman Zombiez part hellish trinity horror films  	0
certainly do not mean distinction good way  	0
mean terrible way  	0
film no redeeming features  	0
Everything appalling  	0
Artless camera-work endlessly presents us ugliest setting imaginable ie  	0
story beyond stupid  	0
script iswas script?  	0
kids annoying  	0
lead man charisma-free  	0
Utterly without merit any level akin torture  	0
I'll even say again  torture  	0
Maybe would reasonable explanation atrocity  	0
Not pleasant voyage self-discovery  	0
Highly unrecommended  	0
If premise sound stupid 's because  	0
Yes  bad  	0
Nothing recommend  	0
An excellent performance from Ms  	1
Garbo showed right bat  her talents could carry over from silent era (I wanted see some her silent work but Netflix doesn't seem stocking them  	1
also great see  renowned silent screenwriter Frances Marion hasn't missed step going from silent sound  	1
movie suffered because writing needed more suspense  	0
There were many close ups  	0
But other  movie seemed drag heroes didn't really work their freedom  	0
But movie definitely below average rent  	0
You'll love it   	1
movie BAD  	0
So bad  	0
film way long  	0
definitely bad ones  	0
movie received great quality film age  	1
John Wayne incredible job being so young movie industry  	1
His screen presence shined thought even though were other senior actors screen 	1
think  must see older John Wayne film  	1
really don't see anyone could enjoy movie  	0
don't think I've ever seen movie half boring self-indulgent piece junk  	0
probably would been better if director hadn't spent movie showcasing his own art work which really isn't  noteworthy  	0
Another thing didn't really like character got punched face gallon blood would spew forth soon after  	0
Jamie Foxx absolutely Ray Charles  	1
His performance simply genius  	1
He owns film just Spacek owned Coal Miner's Daughterand Quaid owned Great Balls Fire  	1
In fact hard remember  part Ray Charles being acted not played by man himself  	1
Ray Charles legendary  	1
Ray Charles' life provided excellent biographical material film which goes well beyond being just another movie musician  	1
Hitchcock great director  	1
Ironically mostly find his films total waste time watch  	0
Secondly Hitchcock pretty much perfected thriller chase movie  	1
pandering audience  sabotages his films  	0
Hence whole story lacks certain energy  	0
plot simply rumbles like machine desperately depending addition new scenes  	0
There usual Hitchcock logic flaws  	0
Mishima extremely uninteresting  	0
chilly unremarkable movie author living working chilly abstruse culture  	0
flat reenactments don't hold your attention because they emotionally adrift stagy  	0
And rest just sits being awful soldiers singing songs masculinity they pledge themselves to hairsplitting purity admiration swords etc  	0
He can bore pieces kill momentum movie quicker anyone else  	0
Schrader made resume full lousy amateurish films  	0
When first watched movie 80s loved it  	1
totally fascinated by music dancing everything  	1
However recently watched whole thing again DVD completely struck by extremely stupid storyline contained holes inconsistencies frankly whole lot crap horrid dancing  	0
mean realistic world would NEVER gotten  ballet repertory whole thing quite pathetic  	0
character developments also lacked depth  	0
Woa talk awful  	0
Do not waste your time  	0
was just horrible  	0
worst sappiest dialogue could on  	0
But what really made unwatchable direction  	0
poor actors  	0
can't even tell if they any talent because they not only pathetic lines speak but director gave them no action  	0
If check director's filmography site will see why film didn't chance  	0
would not even good made TV flick  	0
If good intentions made film great film might greatest films ever made  	1
film great actors master director significant theme--at least would-be significant theme undertone fifties existential world-weariness aerial scenes  ought thrilled both senses imagination characters which might deeply care  	1
Regrettably film fails  	0
movie lacks visual interest drama expression feeling celebration patriotism  underlines narrative  	0
No actress been worse used  June Allison movie  	0
Yet enjoy watching it  	1
Unfortunately bad movie  just plain bad  	0
Bad script bad direction horrible acting make plain bad   	0
dialogue sucked  	0
cinematography-if can called -sucked  	0
soundtrack sucked  	0
acting sucked  	0
concert sequences just sucked  	0
nice  	1
funny  	1
was so funny  	1
Overall movie cheap trash  	0
But movie not funny considering ridiculousness it  	0
came feeling angry  	0
***SPOILERS*** Whatever else can (or can't) said it SURFACE superbly crafted  	1
cinematography simply stunning (to say least) fx nothing if not state-of-the-art  	1
Conceptually show offers little bit everythingjust everybody (parents kids fantasy and or fx fans)  	1
And wasn't single sour note struck acting-wise either; some surprisingly solid casting here  	1
All things considered job well done  	1
Thanks good movie like done released  	1
One best mexican movies ever  less understood even by mexican themselves no matter identified should felt it  	1
ranks highly great noir-crime-drama incredible performances by Belmondo Lino Ventura  	1
attention given every character complex psychological portrayals detailing loyalty treachery love hope tremendous  	1
an excellent drama excellent thriller excellent film  	1
Up best Melville  	1
Everything film simply incredible  	1
truly take journey through eyes soul child  	1
BLACK WATER thriller  manages completely transcend limitations (it's indie flick) by continually subverting expectations emerge intense experience  	1
performances real gripping crocdodile extremely well done indeed if Black Water website believed 's because they used real crocs swamp location fabulous  	1
thoroughly enjoyed Christopher Eccleston took control TARDIS continuation series  	1
I'm not sure what trying do film  	0
If turn good day feeling night disturbing memories guess succeeded  	0
There lot beautiful places  	1
was forced like everything movie  	0
Again lame  	0
Here's where movie really pi**ed  	0
And don't even get started jerky camerawork  	0
When saw theater thought going sick  	0
Summary: witticisms weren't witty  	0
plot well said I'd let   	0
acting bad  	0
Really bad  	0
Even Billy Bob couldn't rise above script which worse  	0
Camerawork again bad  	0
Rating: 1 10  	0
An AMAZING finale possibly BEST trilogy time   	1
Kieslowski never ceases amaze 	1
He favourite directors talented directors history cinema  	1
His use colours French flag three films nothing short incredible every shot every scene like work art  	1
Three visually appealing movies i've ever seen  	1
And his subtle connections between three films awesome  	1
mention huge SPOILER loved ending characters three films were remaining survivors ferry disaster Valentine young judge together old man watching her TV solidifying his happiness over suffering which dealt those many years  	1
couldn't think better way end film but smile face great way wrap amazing film trilogy   	1
recommend EVERYONE loves film movies anythingA Work Art   	1
10 10 both movie trilogy  	1
literally vomited while watching film  	0
think people found another roth's pearls  	1
his performance awarded stunning  	1
the story which told so eloquently by Francis ford Coppola 25 years earlier really unfolds gradually leaves room characters develop  	1
In wonderful location lies story contrast  	1
All beautiful directed film from Nicola's roeg wih sublime cast  	1
I'm translating movies living first movie 5-year working experience  found offensive intelligence  	0
But someone strives greatness poetry but delivers muddled (and often ridiculous) story bunch disparate scenes pretentious dialogue Then get worst kind movie  some other reviewer accurately defined pretentious crap  	0
those find movie intelligent or even masterful can only say your intelligence your imagination obviously used try make some sense pitiful attempt (it's our human nature try make sense things)   	0
One more thing: can tolerate political incorrectness well artistic freedom suspension disbelief but Slavic female character just much  	0
such fun funny movie  	1
Highly entertaining angles  	1
features outlandish array memorable psychotic but lovable nuts  	1
So our enjoyment get see them run around play games dangerous  	1
even its sweet moments  	1
telephone repair man really funny his reactions nuts bitchy boss were truly genuine  	1
All characters film tremendously well played  	1
And really find them funny  	1
actually smart movie  	1
There brilliant twist ending  	1
love it  	1
ending so SO perfect you'll shed tear  	1
am so thrilled after seeing movie like  	1
will never forget now  	1
not just cult cult CLASSIC  	1
Which more depth character man underneath it  	0
Malta settings dry barren dialogue  	0
movie terrible  	0
hockey scenes terrible defensemen playing like they're 5 years old goalies diving shots  10 feet wide net etc  	0
For those  haven't seen it don't waste your time   	0
call movie drama ridiculous   	0
Started watching but didn't believe any characters  	0
In particular relationship between bakery assistant waitress just didn't work  	0
was superficial movie gave feeling  watching play rather film  	0
characters were 'stagey' storyline lot like stage farce  	0
By time pyromaniac waylaid assistant bored didn't care what happened next so switched  	0
Glad didn't pay see it  	0
Didn't laugh or even smile once  	0
But wasn't anything just big yawn  	0
a really good show watch  	1
educational children 1 8 years old  	1
Barney definitely super DE duper  	1
is pretty funny  	1
Babie Bop cute  	1
kids cool  	1
But Storm Trooperis not even bad enough make list wonderfully terrible movies  	0
just lame  	0
guy said he's better dialogue his potted plants right  	0
Everything movie stupid  	0
Even if love bad movies do not watch movie  	0
shameful  	0
would give television series 10 plus if could  	1
writers were smack onand think best actors actresses were bonus showThese characters were so real  	1
must say taped episodes find myself watching them over over again  	1
Now know why gave 10+   	1
don't know exactly what movie but latched endearing movie become special part our family's memories  	1
totally absolutely recommend movie anyone likes good wholesome family movies because  exactly what  	1
things  four kids get themselves absolutely hilarious watch  	1
best movies  shows such strong sibling bond other  	1
Much more interesting more action more suspense less unneeded controversy  	1
Everything from acting cinematography solid  	1
Definitely worth checking  	1
Damian so talented versatile so many ways writing portraying different Characters screen  	1
movie cutting edge it  	1
am so pleased know such modern day genius  letting passion Art drive taking us audience  	1
new characters weren't  memorable found myself forgetting  	0
felt though her going Ireland absolutely nothing whatsoever  	0
didn't make scared horrified or make sympathetic towards characters; simply annoying  	0
jerky camera movements were also annoying  	0
plot same pretty much every other cheap horror  	0
There few pathetic attempts give characters some depth but didn't really work rest plot  	0
guess supposed clever twist shed some light situation but just stupid  	0
If see it should probably just leave shelf  	0
Elias KoteasJack Palance play good roles Angelina hot gets nakedBilly Drago appears cool usual + cameo by Sven ole Thorsen helps make enjoyable movie good acting decent budget  	1
was such awesome movie  bought Ebay  	1
really loved story line poler bear kinda cuteBut if anyone question Fort Steele just ask away:)  	1
totally UNfunny movie so over top pathetic unrealistic  throughout whole 90 minutes utter torture probably looked watch 70000 times   	0
Lucy Bell so much higher crap her sink low quite depressing  	0
All movie does make sick watching slackers make excuses their stupid actions 90 minutes  	0
God can never get  90 minutes back   	0
think wonderful parts (literally full wonder) excerpts from his works  	1
sets (especially designed work camera) amazingstylized beautiful effective  	1
They could used exemplars any set designer  	1
stories were powerful explorations nature man art  	1
After watching film wanted learn more works artist  	1
highly recommend movie anyone interested art poetry theater politics or Japanese history  	1
Here Wind Lion see wonderful rendering America's own Imperial age  	1
) What makes story different terrific production values faultless photography composition editing terrific casting underappreciated Brian Keith playing bully Teddy vivid history  	1
Though Wind Lion told largely through eyes son every member family can identify characters whether Sean Connery's noble brigand Candace Bergen's feisty heroine John Huston's wily John Hay or Steve Kanaly's spiffy radiant ruthless can-do lieutenant Roosevelt's Big Stick  	1
high adventure its best  	1
think Robert Ryans best film because portrayed someone like father schizophrenic real life(my father) although never murdered anyone but affected more so during second world war which made him worse  	1
Having humour him just get by get through day so apt  	1
(My mother brother do this)When saw Robert Ryan portraying type man good imitation type individual impressed  	1
Almost songs Cover Girl old-fashioned not tuneful  	0
most annoying thing 'Cover Girl' way which Rita Hayworth put pedestal  	0
Unfortunately 'Cover Girl' example Hollywood used exploit women financial gain  	0
Non-linear narration thus many flashbacks every part articulated quite well  	1
good cinematography also makes her Monica Bellucci look beautiful  	1
A good commentary today's love undoubtedly film worth seeing  	1
For people first timers film making think they excellent job    	1
was popular cinema good house good reactions plenty laughs  	1
feel-good film 's felt came cinema   	1
northern humour positive community represents  	1
rather enjoyed it  	1
liked it  	1
couldn't take them seriously  	0
really created unique feeling though  	1
Vivian Schilling excellent job script  	1
A world better 95% garbage theatres today  	1
Her role played well  	1
Not screamy not masculine but just right  	1
camera really likes her movie  	1
would casted her  role after ready script  	1
As European movie nice throwback time student 1980's experiences living abroad interacting other nationalities although circumstances were slightly different  	1
am fan his  movie sucked really bad  	0
Even worse Ticker   	0
& That movie bad  	0
Only like 3 or 4 buildings used couple locations MAYBE & poor hummh   	0
just blew  	0
movie excellent Angel beautiful Scamp adorable His little yelps hes scaredand funniest parts when:Scamp caught under curtain Angel Scamp singing 'Ive Never Had Feeling Before'I totally recommend movieits coming special edition June 20cover scamp garbage can Angel underneath lid  	1
just cant explain movie more romanticcharminghilariousand adorable junkyard scenes funnyall junkyard dogs something specialToo funny laughedkids will LOVE itBuy comes outit new features   	1
Now were chosen tortured disgusting piece blatant American propaganda  	0
show made Americans stupid full hatred clichés admitted elsewhere  	0
Almost everyone involved must return school acting utterly predictable bad script pile garbage round  	0
wish could enter negative values admins?  	0
sets so bad they wouldn't look place Thunderbirds episode  	0
use slow-motion needlessly repeats itself throughout movie but well backed by bad acting (and bad kind word here) no continuity scenes  thrown no reason whatsoever vehicles  looked like they were made from Corn Flakes box directorial style  bordered stupidity  	0
Oh yeah storyline pathetic  	0
hate writing bad reviews films especially those which really like star but film so bad don't believe second  anyone could been proud it  	0
am not filmmaker nor am director but would hide head sand if I'd spent whatever amount money time movie  	0
In short monumental waste time energy would not recommend anyone EVER see film  	0
came free DVD player bought but still turned thing halfway through because embarrassed Howell  	0
1 10 only because no setting 0 10  	0
An interesting premise Billy Drago always good dangerous nut-bag (side note: I'd love see Drago Stephen McHattie Lance Hendrikson flick together; talk raging cheekbones )  	1
soundtrack wasn't terrible either  	1
But acting--even  such professionals Drago Debbie Rochon--was terrible directing worse (perhaps contributory former) dialog chimp-like camera work barely tolerable  	0
Still SETS  got big 10on oy-veyscale  	1
Yes am simplifying things here sake brevity really core problems film much going without any real fulfilling explanation  	0
Both do good jobs quite amusing  	1
But convoluted plot just didn't convincemuch film watched weird questioning glance  	0
let girlfriend talk seeing bad idea both hated it  	0
last 15 minutes movie also not bad well  	1
Bela Lugosi totally extraneous intoning odd lines  	0
acting decidely wooden though no worse period Universal B movie  	0
like Armand Assante & cable company's summary sounded interesting so watched it twice already probably will again  	1
believe screenwriter good job tying loose ends  	1
My 8 10 score mostly plot  	1
won't say any more don't like spoilers so don't want but believe film worth your time  	1
Wow what bad film  	0
Not frightening least barely comprehensible  	0
plot doesn't hang together acting absolutely appalling  	0
Not even good camp value   	0
wasn't expecting Oscar material but this?  	0
You'd have IQ particularly stupid mollusk not see  coming  	0
film (and use  word loosely) insult movie-going public  	0
If only someone involved knew string together narrative   	0
gets 1 10 simply because there's nothing lower  	0
not but watched recently Fox Movie Channel disappointed  	0
know contract player little control over his scripts but acting bad script  	0
Victor McLaglen even bad Brian DonLevy almost unrecognizable  	0
Considering relations screen between Taylor Stanwyck surprising little chemistry screen between two them  	0
But premise film so ridiculous:  President US  	0
death row scenes were entirely unmoving  	0
only thing worse Taylor's acting Stanwyck's singing  	0
Whatever producer going for missed entirely  	0
deeply impressed character played  	1
knew saw film  more great things were come from gifted actor  	1
A cheap cheerless heist movie poor characterisation lots underbite style stoic emoting (think Chow Yun Fat A Better Tomorrow) some cheesy clichés thrown abandoned factory ready few poorly executed flying judo rolls la John Woo  	0
Even squibs look awful  	0
At no point proceedings does look remotely like America  	0
plot such so derivative predictable  ending like mercy killing  	0
awful dialogue hopeless overacting by everyone gets shot top real waste space time  	0
